ID,1,2,3,4
0,0.406932127,0.157511543,0.603849501,0.470585461
1,0.379012398,0.802530955,0.7749999,0.739204588
2,0.18001276,0.179544245,0.66915194,0.335719029
3,0.300175127,0.514917942,0.602396732,0.087665316
4,0.486336379,0.054332254,0.465608804,0.565263058
5,0.08405349,0.920920391,0.714782741,0.34301657
6,0.566374142,0.142087322,0.597012334,0.717449597
7,0.945764352,0.561039941,0.107347563,0.593627927
8,0.695184333,0.674691897,0.674832741,0.863322955
9,0.423544695,0.92633084,0.227473466,0.86351635
10,0.462405732,0.585650046,0.273284732,0.045626358
11,0.940885205,0.486556306,0.191099632,0.183414751
12,0.444094215,0.633589621,0.129148688,0.258525411
13,0.613243134,0.544016968,0.644448345,0.063150132
14,0.860108772,0.711743996,0.815467355,0.981714377
15,0.393125357,0.495864958,0.39373708,0.556059431
16,0.181355648,0.693508658,0.938206078,0.778596358
17,0.775244809,0.570110716,0.211212605,0.390097266
18,0.864573213,0.158227954,0.9418615,0.527155363
19,0.048140311,0.315342336,0.560183603,0.270173061
20,0.306239928,0.692575893,0.65946755,0.938143463
21,0.209333512,0.234761361,0.647728328,0.360030769
22,0.455848696,0.507819636,0.91065555,0.524595192
23,0.14457082,0.74212277,0.277489038,0.74218899
24,0.626117187,0.387127101,0.271936791,0.599786581
25,0.410921832,0.891111338,0.791439503,0.320239393
26,0.043232313,0.142828439,0.715001188,0.832195072
27,0.542297856,0.403600168,0.163168749,0.483032464
28,0.060791902,0.311262588,0.796386569,0.651987281
29,0.86768917,0.810992944,0.393678946,0.408478736
30,0.648588364,0.487450931,0.073852767,0.458370613
31,0.558637647,0.674777862,0.453614093,0.464282018
32,0.714145278,0.363510838,0.028259163,0.369974793
33,0.619825425,0.123807138,0.388438643,0.363079611
34,0.09064883,0.536177509,0.86278442,0.836164547
35,0.787174684,0.766609483,0.324584708,0.530278602
36,0.965973946,0.735597331,0.90303514,0.324629148
37,0.810371272,0.782161026,0.983044332,0.752973615
38,0.43595929,0.789354128,0.115944075,0.257675745
39,0.674154308,0.645834837,0.84983717,0.242943263
40,0.552031384,0.975060625,0.290714113,0.167527634
41,0.808004258,0.072788199,0.956688398,0.366515873
42,0.55716258,0.967682503,0.972688959,0.110284011
43,0.83738215,0.547841524,0.722780634,0.070954081
44,0.076700337,0.056646805,0.404728041,0.27173905
45,0.442045068,0.586258857,0.120467225,0.189137321
46,0.81541197,0.756142728,0.828682387,0.482250718
47,0.779220783,0.137436187,0.477456022,0.305446924
48,0.400937889,0.768316553,0.156698882,0.626516416
49,0.877514664,0.301671993,0.32403908,0.407331635
50,0.521367169,0.011377206,0.206582529,0.638565758
51,0.888726049,0.512090297,0.408214729,0.236862576
52,0.614092194,0.295644477,0.560007837,0.256686691
53,0.653033632,0.032001374,0.809619102,0.099762629
54,0.690768029,0.354733618,0.017377337,0.227175745
55,0.811351059,0.098939106,0.287723772,0.826629706
56,0.485980745,0.917093452,0.070028777,0.545118358
57,0.52329428,0.696472895,0.903016153,0.625890709
58,0.857209659,0.85423067,0.358904561,0.612691775
59,0.066805878,0.986439213,0.968947544,0.734167216
60,0.732591927,0.835377889,0.246798504,0.683796713
61,0.806502633,0.037555588,0.124501211,0.401786508
62,0.981635098,0.986466876,0.523375448,0.968730228
63,0.469569454,0.017446119,0.766828932,0.761001962
64,0.061485623,0.395286942,0.10809302,0.42509882
65,0.669891313,0.743207415,0.322454913,0.290501064
66,0.089167969,0.754231302,0.728266219,0.719911455
67,0.995596796,0.596953786,0.321362952,0.161407209
68,0.592738847,0.175868605,0.174061779,0.662681592
69,0.863519604,0.161911919,0.744589536,0.206378151
70,0.73159207,0.798000039,0.691429217,0.271909814
71,0.250010193,0.839981995,0.041739748,0.93748763
72,0.690336947,0.924945984,0.874210443,0.114880573
73,0.524926153,0.584479714,0.126882028,0.960542163
74,0.927366309,0.743932857,0.469834643,0.12059759
75,0.902033679,0.094909953,0.121958232,0.222951073
76,0.20601851,0.011431548,0.209100262,0.363667181
77,0.763344412,0.510647514,0.607127645,0.851809645
78,0.365538635,0.259076759,0.859312379,0.841765723
79,0.132194738,0.829214564,0.528140244,0.986263953
80,0.765787229,0.65489074,0.602101528,0.686210601
81,0.997825539,0.67726961,0.499881641,0.838093142
82,0.762641069,0.434694495,0.361987082,0.384960695
83,0.81851131,0.870810109,0.614819706,0.596941258
84,0.592066413,0.912609785,0.413584092,0.767240724
85,0.124563789,0.30865861,0.5076773,0.027558037
86,0.989117863,0.637931251,0.668583648,0.748145811
87,0.218780465,0.069369369,0.757403457,0.611779725
88,0.171549581,0.078727927,0.015656272,0.272464494
89,0.282649293,0.65088548,0.441655258,0.402416043
90,0.708623205,0.436636153,0.683616671,0.583844495
91,0.544869622,0.938995438,0.156420315,0.630696146
92,0.054103488,0.740338436,0.115942996,0.220355261
93,0.939704801,0.670419639,0.361578544,0.006007279
94,0.237850166,0.783808251,0.102782221,0.22220057
95,0.971309772,0.836505153,0.372748906,0.795729533
96,0.719222955,0.987171237,0.526041617,0.343081835
97,0.066958357,0.299023633,0.337257866,0.540422407
98,0.923641477,0.308812386,0.650432639,0.183265363
99,0.338549092,0.648010187,0.386059726,0.878667442
100,0.864037027,0.061111813,0.507719914,0.294126399
101,0.638009577,0.166933929,0.804209174,0.018676314
102,0.907549462,0.552339704,0.567568772,0.44571836
103,0.075514124,0.999523693,0.620303598,0.024674687
104,0.605040109,0.785459979,0.304283757,0.063317536
105,0.46466446,0.797231981,0.993997003,0.76544296
106,0.071866647,0.536658833,0.348009307,0.815852454
107,0.923019444,0.511477093,0.838034768,0.251974883
108,0.818750744,0.258899568,0.480146067,0.529404458
109,0.237985276,0.215787916,0.634137659,0.763167696
110,0.511651082,0.94178983,0.967179005,0.722606665
111,0.704084428,0.297437035,0.661293328,0.073066722
112,0.420762255,0.603191934,0.566799572,0.514321299
